household_id,camp_name,family_size,head_gender,head_age_group,food_insecurity_score,shelter_damage_score,chronic_disease_present,vulnerability_index
HH_00001,Camp Gamma,2,Female,26-35,0.19,0.62,0,0.28
HH_00002,Camp Alpha,9,Female,36-50,0.68,0.02,1,0.57
HH_00003,Camp Beta,2,Female,18-25,0.48,0.81,0,0.46
HH_00004,Camp Gamma,6,Male,36-50,0.15,0.47,0,0.26
HH_00005,Camp Beta,6,Female,26-35,0.39,0.65,0,0.41
HH_00006,Camp Alpha,4,Male,51-65,0.56,0.25,1,0.54
HH_00007,Camp Gamma,9,Female,36-50,0.42,0.21,1,0.52
HH_00008,Camp Alpha,7,Male,26-35,0.84,0.08,0,0.43
HH_00009,Camp Beta,7,Female,18-25,0.53,0.77,0,0.51
HH_00010,Camp Alpha,9,Other,51-65,0.77,0.32,0,0.49
HH_00011,Camp Gamma,3,Female,26-35,0.57,0.69,0,0.46
HH_00012,Camp Beta,9,Female,26-35,0.84,0.51,0,0.58
HH_00013,Camp Gamma,3,Male,51-65,0.46,0.32,0,0.31
HH_00014,Camp Alpha,2,Female,36-50,0.82,0.46,0,0.49
HH_00015,Camp Alpha,1,Male,36-50,0.82,0.58,0,0.51
HH_00016,Camp Beta,7,Male,36-50,0.58,0.76,0,0.53
HH_00017,Camp Gamma,3,Female,36-50,0.15,0.46,1,0.43
HH_00018,Camp Beta,4,Male,26-35,0.28,0.99,0,0.45
HH_00019,Camp Alpha,2,Female,36-50,0.86,0.18,0,0.42
HH_00020,Camp Gamma,9,Female,51-65,0.5,0.48,1,0.63
HH_00021,Camp Gamma,5,Female,26-35,0.78,0.47,0,0.5
HH_00022,Camp Gamma,1,Female,51-65,0.82,0.82,0,0.58
HH_00023,Camp Alpha,6,Female,26-35,0.48,0.23,0,0.32
HH_00024,Camp Alpha,5,Female,36-50,0.7,0.59,0,0.51
HH_00025,Camp Beta,2,Other,26-35,0.68,0.76,0,0.52
HH_00026,Camp Gamma,4,Female,36-50,0.02,0.67,0,0.25
